GENOTYPE,PLOT,Index
CT27015-38-R-R-R-MPL,1339,7
CT27017-47-R-R-R-MPL,1340,7
CT27009-80-R-R-R-MPL,1341,7
CT26991-53-R-R-R-MPL,1342,6
CT26998-119-R-R-R-MPL,1343,6
CT26989-112-R-R-R-MPL,1344,7
CT26987-76-R-R-R-MPL,1345,7
CT27050-38-R-R-R-MPL,1346,5
CT27054-37-R-R-R-MPL,1347,1
CT26991-50-R-R-R-MPL,1348,6
CT26989-139-R-R-R-MPL,1349,7
CT27009-102-R-R-R-MPL,1350,7
CT26998-107-R-R-R-MPL,1351,6
CT27035-83-R-R-R-MPL,1352,7
CT26989-90-R-R-R-MPL,1353,6
CT27035-78-R-R-R-MPL,1354,7
CT27047-120-R-R-R-MPL,1355,7
FL12740-2-3P-2A- MP- MP,1356,7
CT27038-97-R-R-R-MPL,1357,7
CT27057-36-R-R-R-MPL,1358,6
Olimar,1359,6
CT27047-139-R-R-R-MPL,1360,6
CT26987-113-R-R-R-MPL,1361,6
FEDEARROZ 2000,1362,6
CT27050-121-R-R-R-MPL,1363,7
CT26995-77-R-R-R-MPL,1364,7
CT27031-38-R-R-R-MPL,1365,7
CT26989-60-R-R-R-MPL,1366,7
CT27035-130-R-R-R-MPL,1367,6
CT27050-103-R-R-R-MPL,1368,7
CT27047-75-R-R-R-MPL,1369,6
CT27038-141-R-R-R-MPL,1370,6
CT27035-79-R-R-R-MPL,1371,6
CT27031-112-R-R-R-MPL,1372,7
CT27048-43-R-R-R-MPL,1373,6
CT26998-72-R-R-R-MPL,1374,6
CT26997-153-R-R-R-MPL,1375,5
CT26998-60-R-R-R-MPL,1376,7
CT27054-52-R-R-R-MPL,1377,7
CT27031-68-R-R-R-MPL,1378,6
CT27035-116-R-R-R-MPL,1379,6
CT27009-70-R-R-R-MPL,1380,7
CT26989-92-R-R-R-MPL,1381,7
CT26997-49-R-R-R-MPL,1382,6
CT27031-52-R-R-R-MPL,1383,7
CT26989-32-R-R-R-MPL,1384,7
CT26997-118-R-R-R-MPL,1385,7
Olimar,1386,6
CT27017-91-R-R-R-MPL,1387,6
CT27050-133-R-R-R-MPL,1388,5
CT27017-92-R-R-R-MPL,1389,7
CT26991-60-R-R-R-MPL,1390,6
CT27016-68-R-R-R-MPL,1391,7
CT26998-95-R-R-R-MPL,1392,5
CT27050-81-R-R-R-MPL,1393,6
CT27015-76-R-R-R-MPL,1394,6
CT27054-56-R-R-R-MPL,1395,6
CT26987-45-R-R-R-MPL,1396,7
CT27031-98-R-R-R-MPL,1397,7
CT27035-146-R-R-R-MPL,1398,6
CT27009-68-R-R-R-MPL,1399,4
CT26987-178-R-R-R-MPL,1400,5
CT26989-36-R-R-R-MPL,1401,4
CT26987-54-R-R-R-MPL,1402,5
CT27047-31-R-R-R-MPL,1403,5
CT26989-129-R-R-R-MPL,1404,5
CT26987-73-R-R-R-MPL,1405,6
CT27050-116-R-R-R-MPL,1406,3
CT26998-102-R-R-R-MPL,1407,1
CT27057-35-R-R-R-MPL,1408,4
CT27016-47-R-R-R-MPL,1409,7
CT27035-106-R-R-R-MPL,1410,6
ORYZICA 1,1411,5
CT27035-118-R-R-R-MPL,1412,6
CT26998-35-R-R-R-MPL,1413,3
CT26989-135-R-R-R-MPL,1414,5
CT27038-126-R-R-R-MPL,1415,5
CT27031-117-R-R-R-MPL,1416,6
CT27016-57-R-R-R-MPL,1417,7
CT27020-50-R-R-R-MPL,1418,6
CT26995-89-R-R-R-MPL,1419,7
CT27015-63-R-R-R-MPL,1420,7
CT26987-134-R-R-R-MPL,1421,6
CT26989-91-R-R-R-MPL,1422,6
CT27017-96-R-R-R-MPL,1423,7
CT27015-111-R-R-R-MPL,1424,7
CT27020-38-R-R-R-MPL,1425,4
CT26991-53-R-R-R-MPL,1426,4
CT27005-36-R-R-R-MPL,1427,5
CT27047-69-R-R-R-MPL,1428,6
Olimar,1429,5
CT26998-118-R-R-R-MPL,1430,4
CT26987-75-R-R-R-MPL,1431,6
CT27038-109-R-R-R-MPL,1432,6
CT26987-104-R-R-R-MPL,1433,6
CT26997-131-R-R-R-MPL,1434,3
CT26995-75-R-R-R-MPL,1435,6
CT26987-40-R-R-R-MPL,1436,6
CT27035-105-R-R-R-MPL,1437,6
CT27050-85-R-R-R-MPL,1438,7
CT26989-33-R-R-R-MPL,1439,6
CT26997-69-R-R-R-MPL,1440,6
CT27038-61-R-R-R-MPL,1441,4
CT26987-141-R-R-R-MPL,1442,6
CT27047-168-R-R-R-MPL,1443,6
CT27035-147-R-R-R-MPL,1444,7
CT27020-102-R-R-R-MPL,1445,6
ORYZICA 1,1446,6
CT26987-84-R-R-R-MPL,1447,7
CT27031-97-R-R-R-MPL,1448,7
CT26995-39-R-R-R-MPL,1449,6
CT27050-107-R-R-R-MPL,1450,3
CT27038-44-R-R-R-MPL,1451,5
CT27035-161-R-R-R-MPL,1452,5
CT27031-110-R-R-R-MPL,1453,6
CT27050-87-R-R-R-MPL,1454,6
CT27047-80-R-R-R-MPL,1455,6
CT26995-86-R-R-R-MPL,1456,6
CT26998-111-R-R-R-MPL,1457,6
CT27005-33-R-R-R-MPL,1458,7
CT26997-113-R-R-R-MPL,1459,6
CT27017-51-R-R-R-MPL,1460,5
CT26997-130-R-R-R-MPL,1461,5
CT27015-84-R-R-R-MPL,1462,7
FEDEARROZ 2000,1463,7
CT27047-53-R-R-R-MPL,1464,7
CT27050-47-R-R-R-MPL,1465,6
CT26998-38-R-R-R-MPL,1466,3
CT27038-128-R-R-R-MPL,1467,7
CT27047-152-R-R-R-MPL,1468,6
CT26987-146-R-R-R-MPL,1469,7
CT27020-67-R-R-R-MPL,1470,7
CT27047-150-R-R-R-MPL,1471,7
CT27035-100-R-R-R-MPL,1472,7
CT27047-121-R-R-R-MPL,1473,7
CT27035-157-R-R-R-MPL,1474,7
CT26987-63-R-R-R-MPL,1475,6
CT27016-98-R-R-R-MPL,1476,6
CT27047-58-R-R-R-MPL,1477,6
CT27050-125-R-R-R-MPL,1478,6
CT26998-86-R-R-R-MPL,1479,1
CT26995-58-R-R-R-MPL,1480,6
CT26998-53-R-R-R-MPL,1481,7
CT26989-54-R-R-R-MPL,1482,7
CT27009-84-R-R-R-MPL,1483,7
CT27050-63-R-R-R-MPL,1484,6
ORYZICA 1,1485,5
CT27048-59-R-R-R-MPL,1486,7
CT26997-45-R-R-R-MPL,1487,7
CT26987-180-R-R-R-MPL,1488,7
CT27017-80-R-R-R-MPL,1489,7
CT27015-95-R-R-R-MPL,1490,7
CT27050-109-R-R-R-MPL,1491,7
CT27015-53-R-R-R-MPL,1492,7
IRGA 5851-2-3-3-2-PL-1,1493,2
CT27038-42-R-R-R-MPL,1494,7
CT27016-86-R-R-R-MPL,1495,7
CT27047-52-R-R-R-MPL,1496,6
CT27031-47-R-R-R-MPL,1497,6
CT27050-122-R-R-R-MPL,1498,6
CT26991-54-R-R-R-MPL,1499,5
SLF-10-427,1500,7
CT27035-33-R-R-R-MPL,1501,7
CT27050-73-R-R-R-MPL,1502,5
CT27009-87-R-R-R-MPL,1503,6
CT27047-38-R-R-R-MPL,1504,7
CT26997-103-R-R-R-MPL,1505,6
CT27035-42-R-R-R-MPL,1506,6
CT27057-47-R-R-R-MPL,1507,6
CT27017-93-R-R-R-MPL,1508,4
CT26989-83-R-R-R-MPL,1509,2
CT27035-47-R-R-R-MPL,1510,6
FEDEARROZ 2000,1511,6
CT26995-121-R-R-R-MPL,1512,6
CT27047-65-R-R-R-MPL,1513,7
CT26987-35-R-R-R-MPL,1514,7
CT26995-91-R-R-R-MPL,1515,7
CT27009-45-R-R-R-MPL,1516,7
CT27015-65-R-R-R-MPL,1517,7
CT26989-52-R-R-R-MPL,1518,6
CT26997-39-R-R-R-MPL,1519,5
CT27017-79-R-R-R-MPL,1520,2
CT26989-107-R-R-R-MPL,1521,5
CT26998-41-R-R-R-MPL,1522,6
CT26989-67-R-R-R-MPL,1523,3
CT27035-114-R-R-R-MPL,1524,7
CT27009-65-R-R-R-MPL,1525,7
CT26987-143-R-R-R-MPL,1526,7
CT26991-69-R-R-R-MPL,1527,6
CT27047-138-R-R-R-MPL,1528,7
CT27020-55-R-R-R-MPL,1529,7
CT27057-62-R-R-R-MPL,1530,7
CT27017-77-R-R-R-MPL,1531,7
Olimar,1532,6
CT26989-80-R-R-R-MPL,1533,5
CT27038-166-R-R-R-MPL,1534,6
CT27031-67-R-R-R-MPL,1535,7
CT26991-51-R-R-R-MPL,1536,7
CT27035-99-R-R-R-MPL,1537,7
Olimar,1538,6
CT27047-39-R-R-R-MPL,1539,6
CT27031-114-R-R-R-MPL,1540,6
CT27016-50-R-R-R-MPL,1541,7
CT27050-94-R-R-R-MPL,1542,6
CT27009-77-R-R-R-MPL,1543,7
CT26995-107-R-R-R-MPL,1544,7
CT26991-38-R-R-R-MPL,1545,6
CT27015-83-R-R-R-MPL,1546,7
CT27038-115-R-R-R-MPL,1547,1
CT27035-109-R-R-R-MPL,1548,6
CT27048-73-R-R-R-MPL,1549,6
CT26998-85-R-R-R-MPL,1550,2
CT26997-44-R-R-R-MPL,1551,7
CT27031-42-R-R-R-MPL,1552,7
CT26991-48-R-R-R-MPL,1553,7
CT26997-43-R-R-R-MPL,1554,5
CT27035-57-R-R-R-MPL,1555,6
CT27015-66-R-R-R-MPL,1556,7
CT26989-94-R-R-R-MPL,1557,4
CT27050-96-R-R-R-MPL,1558,6
CT26989-95-R-R-R-MPL,1559,5
CT27016-58-R-R-R-MPL,1560,7
CT27031-35-R-R-R-MPL,1561,7
FEDEARROZ 2000,1562,7
CT27015-31-R-R-R-MPL,1563,7
CT27020-79-R-R-R-MPL,1564,7
CT27031-89-R-R-R-MPL,1565,7
CT27038-49-R-R-R-MPL,1566,7
CT27050-71-R-R-R-MPL,1567,7
CT27017-34-R-R-R-MPL,1568,3
CT27054-45-R-R-R-MPL,1569,6
CT26987-184-R-R-R-MPL,1570,6
CT27035-104-R-R-R-MPL,1571,7
CT27050-44-R-R-R-MPL,1572,7
CT26987-64-R-R-R-MPL,1573,7
CT27015-39-R-R-R-MPL,1574,7
CT26997-128-R-R-R-MPL,1575,3
ORYZICA 1,1576,5
CT27020-35-R-R-R-MPL,1577,7
CT26995-94-R-R-R-MPL,1578,6
CT26989-105-R-R-R-MPL,1579,5
CT27015-58-R-R-R-MPL,1580,6
CT27031-37-R-R-R-MPL,1581,6
CT26987-93-R-R-R-MPL,1582,6
CT26998-56-R-R-R-MPL,1583,6
CT27035-87-R-R-R-MPL,1584,6
CT27031-118-R-R-R-MPL,1585,7
CT27038-51-R-R-R-MPL,1586,7
CT26997-76-R-R-R-MPL,1587,6
CT27031-49-R-R-R-MPL,1588,6
CT27038-125-R-R-R-MPL,1589,5
CT27009-96-R-R-R-MPL,1590,7
CT27031-115-R-R-R-MPL,1591,7
CT27017-76-R-R-R-MPL,1592,6
CT27050-80-R-R-R-MPL,1593,4
H 54 (IRGA R14-26-3-2),1594,3
CT27015-125-R-R-R-MPL,1595,5
CT26995-45-R-R-R-MPL,1596,6
FEDEARROZ 2000,1597,6
CT27015-79-R-R-R-MPL,1598,6
CT27031-41-R-R-R-MPL,1599,6
CT27035-40-R-R-R-MPL,1600,6
CT27050-40-R-R-R-MPL,1601,6
CT27015-35-R-R-R-MPL,1602,6
CT26997-147-R-R-R-MPL,1603,6
CT27047-82-R-R-R-MPL,1604,7
CT27048-51-R-R-R-MPL,1605,6
CT26995-131-R-R-R-MPL,1606,6
CT27054-36-R-R-R-MPL,1607,5
CT27017-38-R-R-R-MPL,1608,7
CT27048-71-R-R-R-MPL,1609,6
CT27050-99-R-R-R-MPL,1610,6
CT26987-65-R-R-R-MPL,1611,7
CT27017-78-R-R-R-MPL,1612,5
CT27009-89-R-R-R-MPL,1613,5
CT27038-85-R-R-R-MPL,1614,6
CT27016-56-R-R-R-MPL,1615,6
CT26989-136-R-R-R-MPL,1616,6
CT26995-93-R-R-R-MPL,1617,6
CT26991-65-R-R-R-MPL,1618,5
CT27038-35-R-R-R-MPL,1619,5
CT26991-61-R-R-R-MPL,1620,5
ORYZICA 1,1621,5
CT26987-44-R-R-R-MPL,1622,6
CT26989-108-R-R-R-MPL,1623,3
CT27047-83-R-R-R-MPL,1624,6
CT27057-31-R-R-R-MPL,1625,5
CT27015-106-R-R-R-MPL,1626,6
CT27057-39-R-R-R-MPL,1627,6
CT26997-99-R-R-R-MPL,1628,6
CT27050-70-R-R-R-MPL,1629,5
CT27020-110-R-R-R-MPL,1630,1
CT26989-63-R-R-R-MPL,1631,6
CT26998-105-R-R-R-MPL,1632,6
CT27050-131-R-R-R-MPL,1633,4
CT27038-84-R-R-R-MPL,1634,2
CT27020-93-R-R-R-MPL,1635,6
CT27016-44-R-R-R-MPL,1636,7
CT27038-33-R-R-R-MPL,1637,5
CT27047-124-R-R-R-MPL,1638,7
CT26989-137-R-R-R-MPL,1639,6
CT27048-48-R-R-R-MPL,1640,6
CT26987-144-R-R-R-MPL,1641,6
Olimar,1642,6
CT27031-73-R-R-R-MPL,1643,6
CT27016-67-R-R-R-MPL,1644,7
CT27038-57-R-R-R-MPL,1645,2
CT26997-92-R-R-R-MPL,1646,4
CT26998-109-R-R-R-MPL,1647,5
CT27038-154-R-R-R-MPL,1648,2
CT27016-85-R-R-R-MPL,1649,6
CT26997-58-R-R-R-MPL,1650,6
CT26995-98-R-R-R-MPL,1651,6
ORYZICA 1,1652,5
CT26991-62-R-R-R-MPL,1653,6
CT27038-111-R-R-R-MPL,1654,6
CT26997-85-R-R-R-MPL,1655,7
CT26989-49-R-R-R-MPL,1656,6
CT27038-86-R-R-R-MPL,1657,1
CT26997-120-R-R-R-MPL,1658,6
CT27015-74-R-R-R-MPL,1659,7
CT27050-66-R-R-R-MPL,1660,3
