GENOTYPE,PLOT,Index
CT26997-66-R-R-R-MPL,212,6
CT26987-96-R-R-R-MPL,213,7
CT27015-49-R-R-R-MPL,214,7
CT26987-66-R-R-R-MPL,215,7
CT26997-134-R-R-R-MPL,216,6
CT27050-112-R-R-R-MPL,217,7
CT27035-92-R-R-R-MPL,218,7
CT26987-136-R-R-R-MPL,219,7
CT27020-84-R-R-R-MPL,220,7
CT27035-128-R-R-R-MPL,221,7
CT27015-103-R-R-R-MPL,222,7
CT27020-75-R-R-R-MPL,223,7
IRGA 5842-1-3-1-1-PL-4,224,5
CT26987-142-R-R-R-MPL,225,7
CT27050-126-R-R-R-MPL,226,7
CT26995-102-R-R-R-MPL,227,6
CT27035-51-R-R-R-MPL,228,7
CT27015-43-R-R-R-MPL,229,7
CT27017-49-R-R-R-MPL,230,5
CT26998-74-R-R-R-MPL,231,6
CT27047-45-R-R-R-MPL,232,7
CT27016-91-R-R-R-MPL,233,6
CT26987-89-R-R-R-MPL,234,6
CT26997-70-R-R-R-MPL,235,7
CT26989-117-R-R-R-MPL,236,6
Olimar,237,6
CT26987-162-R-R-R-MPL,238,7
CT27048-40-R-R-R-MPL,239,7
CT27038-75-R-R-R-MPL,240,6
CT27048-55-R-R-R-MPL,241,6
CT27038-56-R-R-R-MPL,242,6
CT26995-96-R-R-R-MPL,243,7
CT27009-90-R-R-R-MPL,244,7
FEDEARROZ 2000,245,6
CT26991-31-R-R-R-MPL,246,6
CT26989-106-R-R-R-MPL,247,5
CT26987-135-R-R-R-MPL,248,6
CT27015-90-R-R-R-MPL,249,7
CT27009-37-R-R-R-MPL,250,7
CT27047-64-R-R-R-MPL,251,6
CT27050-118-R-R-R-MPL,252,6
CT27017-103-R-R-R-MPL,253,7
CT27031-65-R-R-R-MPL,254,6
FL07570-4PT-1P-1P-MP,255,1
CT27050-102-R-R-R-MPL,256,5
CT27016-59-R-R-R-MPL,257,6
CT26995-128-R-R-R-MPL,258,6
CT27047-37-R-R-R-MPL,259,6
CT26997-67-R-R-R-MPL,260,7
CT27020-78-R-R-R-MPL,261,7
SLF-10-396,262,7
CT26997-32-R-R-R-MPL,263,7
CT27050-83-R-R-R-MPL,264,6
ORYZICA 1,265,6
CT27050-77-R-R-R-MPL,266,6
CT26995-133-R-R-R-MPL,267,6
CT26998-64-R-R-R-MPL,268,2
CT27050-120-R-R-R-MPL,269,4
CT27038-101-R-R-R-MPL,270,6
CT27047-165-R-R-R-MPL,271,6
CT26987-78-R-R-R-MPL,272,6
CT27038-92-R-R-R-MPL,273,6
CT27016-89-R-R-R-MPL,274,7
CT27009-59-R-R-R-MPL,275,7
CT27017-84-R-R-R-MPL,276,7
CT27038-148-R-R-R-MPL,277,7
CT27015-121-R-R-R-MPL,278,7
CT27038-112-R-R-R-MPL,279,4
CT26995-126-R-R-R-MPL,280,6
CT26987-67-R-R-R-MPL,281,7
CT27048-58-R-R-R-MPL,282,6
CT26997-72-R-R-R-MPL,283,7
Olimar,284,6
CT27047-111-R-R-R-MPL,285,6
CT27031-105-R-R-R-MPL,286,6
CT27017-97-R-R-R-MPL,287,6
CT27015-114-R-R-R-MPL,288,6
CT27038-153-R-R-R-MPL,289,6
CT26987-167-R-R-R-MPL,290,6
CT26998-31-R-R-R-MPL,291,7
CT27015-124-R-R-R-MPL,292,7
CT26995-109-R-R-R-MPL,293,6
CT27047-54-R-R-R-MPL,294,7
CT27038-91-R-R-R-MPL,295,2
CT26997-77-R-R-R-MPL,296,3
CT27035-122-R-R-R-MPL,297,6
CT27047-101-R-R-R-MPL,298,7
CT27038-104-R-R-R-MPL,299,3
CT27050-59-R-R-R-MPL,300,7
CT26987-59-R-R-R-MPL,301,7
CT27016-60-R-R-R-MPL,302,7
CT26997-73-R-R-R-MPL,303,8
CT26998-70-R-R-R-MPL,304,6
CT27009-40-R-R-R-MPL,305,6
CT27020-64-R-R-R-MPL,306,6
CT27016-53-R-R-R-MPL,307,7
CT26987-166-R-R-R-MPL,308,7
CT26998-62-R-R-R-MPL,309,2
CT27020-107-R-R-R-MPL,310,7
CT27057-64-R-R-R-MPL,311,6
CT27050-43-R-R-R-MPL,312,7
Olimar,313,6
CT27017-45-R-R-R-MPL,314,8
CT27038-48-R-R-R-MPL,315,1
CT26997-106-R-R-R-MPL,316,7
CT26987-193-R-R-R-MPL,317,7
CT26998-78-R-R-R-MPL,318,3
CT27035-52-R-R-R-MPL,319,7
CT27047-48-R-R-R-MPL,320,7
CT27048-60-R-R-R-MPL,321,7
CT27038-139-R-R-R-MPL,322,3
CT26997-96-R-R-R-MPL,323,2
CT26991-36-R-R-R-MPL,324,6
CT27031-94-R-R-R-MPL,325,7
CT26989-73-R-R-R-MPL,326,3
CT27035-125-R-R-R-MPL,327,7
CT26995-60-R-R-R-MPL,328,6
CT27050-69-R-R-R-MPL,329,6
CT27048-49-R-R-R-MPL,330,7
CT27017-44-R-R-R-MPL,331,4
CT27038-143-R-R-R-MPL,332,3
ORYZICA 1,333,6
CT27016-38-R-R-R-MPL,334,7
CT27020-61-R-R-R-MPL,335,7
CT26989-78-R-R-R-MPL,336,6
CT26995-129-R-R-R-MPL,337,7
CT27038-95-R-R-R-MPL,338,7
CT26998-57-R-R-R-MPL,339,7
CT27050-127-R-R-R-MPL,340,3
CT27038-156-R-R-R-MPL,341,7
CT26998-59-R-R-R-MPL,342,7
CT26989-103-R-R-R-MPL,343,6
CT27048-38-R-R-R-MPL,344,7
CT27031-92-R-R-R-MPL,345,6
CT27015-64-R-R-R-MPL,346,7
CT26998-40-R-R-R-MPL,347,6
FEDEARROZ 2000,348,6
CT26995-116-R-R-R-MPL,349,7
CT27038-73-R-R-R-MPL,350,7
CT27035-138-R-R-R-MPL,351,6
CT26997-56-R-R-R-MPL,352,7
CT27031-102-R-R-R-MPL,353,7
CT27015-89-R-R-R-MPL,354,7
CT26998-33-R-R-R-MPL,355,3
CT27031-88-R-R-R-MPL,356,6
CT26997-62-R-R-R-MPL,357,7
CT26995-70-R-R-R-MPL,358,7
CT27047-157-R-R-R-MPL,359,7
CT27050-88-R-R-R-MPL,360,6
CT26991-39-R-R-R-MPL,361,5
CT27038-40-R-R-R-MPL,362,7
CT27050-123-R-R-R-MPL,363,4
CT26987-83-R-R-R-MPL,364,7
CT26997-151-R-R-R-MPL,365,6
Olimar,366,6
CT27017-72-R-R-R-MPL,367,3
CT27054-47-R-R-R-MPL,368,6
CT27031-66-R-R-R-MPL,369,7
CT26987-174-R-R-R-MPL,370,7
CT27047-59-R-R-R-MPL,371,7
CT26995-46-R-R-R-MPL,372,7
CT26987-181-R-R-R-MPL,373,7
CT27016-64-R-R-R-MPL,374,7
CT27038-76-R-R-R-MPL,375,6
CT27054-54-R-R-R-MPL,376,6
CT27050-110-R-R-R-MPL,377,6
CT27038-62-R-R-R-MPL,378,1
CT27035-39-R-R-R-MPL,379,7
CT26998-106-R-R-R-MPL,380,1
CT27015-128-R-R-R-MPL,381,6
CT26987-145-R-R-R-MPL,382,7
ORYZICA 1,383,6
CT26997-60-R-R-R-MPL,384,5
CT27015-61-R-R-R-MPL,385,7
CT27047-32-R-R-R-MPL,386,7
CT26998-83-R-R-R-MPL,387,1
CT27035-115-R-R-R-MPL,388,7
CT27020-91-R-R-R-MPL,389,7
CT27035-63-R-R-R-MPL,390,7
CT27048-36-R-R-R-MPL,391,7
CT27047-110-R-R-R-MPL,392,7
CT27015-36-R-R-R-MPL,393,6
CT26997-35-R-R-R-MPL,394,3
CT27031-32-R-R-R-MPL,395,7
CT27017-54-R-R-R-MPL,396,3
CT27009-35-R-R-R-MPL,397,7
CT27047-47-R-R-R-MPL,398,7
CT27009-69-R-R-R-MPL,399,5
CT27015-88-R-R-R-MPL,400,7
CT27047-161-R-R-R-MPL,401,7
CT27057-49-R-R-R-MPL,402,7
CT26997-155-R-R-R-MPL,403,7
CT27035-86-R-R-R-MPL,404,6
CT27015-116-R-R-R-MPL,405,6
CT27038-87-R-R-R-MPL,406,6
FEDEARROZ 2000,407,6
CT27050-33-R-R-R-MPL,408,3
CT26995-72-R-R-R-MPL,409,7
CT27017-58-R-R-R-MPL,410,6
CT27020-105-R-R-R-MPL,411,7
CT27017-100-R-R-R-MPL,412,7
CT26997-88-R-R-R-MPL,413,6
CT26991-33-R-R-R-MPL,414,2
CT27048-62-R-R-R-MPL,415,2
CT27009-34-R-R-R-MPL,416,6
CT27035-139-R-R-R-MPL,417,6
CT27047-164-R-R-R-MPL,418,6
CT26989-120-R-R-R-MPL,419,2
CT26995-53-R-R-R-MPL,420,6
CT27047-105-R-R-R-MPL,421,6
CT27020-52-R-R-R-MPL,422,1
CT27031-62-R-R-R-MPL,423,6
ORYZICA 1,424,5
CT26989-122-R-R-R-MPL,425,7
CT27020-85-R-R-R-MPL,426,6
CT27057-46-R-R-R-MPL,427,7
CT27035-77-R-R-R-MPL,428,7
CT27017-33-R-R-R-MPL,429,7
CT26987-41-R-R-R-MPL,430,6
CT27047-72-R-R-R-MPL,431,7
CT27020-109-R-R-R-MPL,432,7
CT27015-118-R-R-R-MPL,433,6
CT27038-83-R-R-R-MPL,434,6
CT27054-34-R-R-R-MPL,435,7
CT26991-37-R-R-R-MPL,436,3
CT27038-142-R-R-R-MPL,437,6
CT27020-63-R-R-R-MPL,438,6
CT27050-76-R-R-R-MPL,439,6
CT27047-79-R-R-R-MPL,440,7
CT26998-71-R-R-R-MPL,441,3
CT27038-118-R-R-R-MPL,442,7
CT26998-108-R-R-R-MPL,443,7
CT27017-88-R-R-R-MPL,444,3
CT27016-36-R-R-R-MPL,445,7
CT27020-53-R-R-R-MPL,446,6
CT26998-98-R-R-R-MPL,447,6
CT27020-83-R-R-R-MPL,448,6
CT27009-48-R-R-R-MPL,449,6
Olimar,450,7
CT27048-66-R-R-R-MPL,451,6
CT26987-52-R-R-R-MPL,452,7
CT26997-52-R-R-R-MPL,453,6
CT26995-82-R-R-R-MPL,454,6
CT27031-79-R-R-R-MPL,455,6
CT27009-82-R-R-R-MPL,456,6
CT27057-53-R-R-R-MPL,457,7
CT27031-36-R-R-R-MPL,458,7
CT26998-43-R-R-R-MPL,459,7
CT27017-94-R-R-R-MPL,460,3
CT27054-35-R-R-R-MPL,461,7
CT27035-145-R-R-R-MPL,462,7
CT27017-73-R-R-R-MPL,463,7
CT26997-78-R-R-R-MPL,464,5
CT27009-36-R-R-R-MPL,465,3
CT27038-150-R-R-R-MPL,466,6
CT26987-97-R-R-R-MPL,467,7
CT26997-74-R-R-R-MPL,468,6
CT27035-123-R-R-R-MPL,469,6
CT27057-34-R-R-R-MPL,470,6
CT26987-161-R-R-R-MPL,471,7
FEDEARROZ 2000,472,6
CT27015-91-R-R-R-MPL,473,7
CT26987-49-R-R-R-MPL,474,6
CT26989-42-R-R-R-MPL,475,4
CT27016-54-R-R-R-MPL,476,7
ORYZICA 1,477,5
CT27016-35-R-R-R-MPL,478,6
CT26997-125-R-R-R-MPL,479,7
CT27050-34-R-R-R-MPL,480,3
CT27035-117-R-R-R-MPL,481,6
CT26998-91-R-R-R-MPL,482,6
CT26989-97-R-R-R-MPL,483,6
CT26997-82-R-R-R-MPL,484,2
CT27057-61-R-R-R-MPL,485,5
CT26989-34-R-R-R-MPL,486,3
CT27035-111-R-R-R-MPL,487,6
CT27015-81-R-R-R-MPL,488,7
CT26989-130-R-R-R-MPL,489,3
